ppi_item,curr_month,curr_year,lower,mid,upper,pred_year
Farm-level cattle,7,2011.0,-17.7,-1.8,17.3,2012
Farm-level cattle,8,2011.0,-17.1,-0.8,18.9,2012
Farm-level cattle,9,2011.0,-16.1,0.1,19.7,2012
Farm-level cattle,10,2011.0,-16.8,-0.9,18.7,2012
Farm-level cattle,11,2011.0,-15.3,0.3,19.4,2012
Farm-level cattle,12,2011.0,-12.3,3.2,21.9,2012
Farm-level cattle,1,2012.0,-12.9,1.7,19.0,2012
Farm-level cattle,2,2012.0,-7.6,6.1,22.0,2012
Farm-level cattle,3,2012.0,-3.5,13.0,33.6,2012
Farm-level cattle,4,2012.0,-1.7,9.2,21.8,2012
Farm-level cattle,5,2012.0,-1.6,8.0,19.3,2012
Farm-level cattle,6,2012.0,0.9,10.8,22.5,2012
Farm-level cattle,7,2012.0,0.2,7.8,16.9,2012
Farm-level cattle,8,2012.0,0.3,6.1,13.0,2012
Farm-level cattle,9,2012.0,3.5,7.9,13.2,2012
Farm-level cattle,10,2012.0,6.2,9.3,12.9,2012
Farm-level cattle,11,2012.0,6.8,8.6,10.6,2012
Farm-level cattle,12,2012.0,7.9,8.7,9.5,2012
Wholesale beef,7,2011.0,-14.8,-0.8,15.9,2012
Wholesale beef,8,2011.0,-13.7,0.7,17.6,2012
Wholesale beef,9,2011.0,-12.9,1.5,18.1,2012
Wholesale beef,10,2011.0,-12.3,1.8,18.2,2012
Wholesale beef,11,2011.0,-13.0,0.4,15.9,2012
Wholesale beef,12,2011.0,-11.5,1.5,16.5,2012
Wholesale beef,1,2012.0,-9.7,2.9,17.2,2012
Wholesale beef,2,2012.0,-8.6,2.5,15.7,2012
Wholesale beef,3,2012.0,-5.6,4.3,15.7,2012
Wholesale beef,4,2012.0,-4.6,4.1,13.9,2012
Wholesale beef,5,2012.0,-0.7,7.2,16.3,2012
Wholesale beef,6,2012.0,1.3,8.2,16.0,2012
Wholesale beef,7,2012.0,4.0,9.9,16.4,2012
Wholesale beef,8,2012.0,5.2,9.9,15.3,2012
Wholesale beef,9,2012.0,5.7,9.2,13.1,2012
Wholesale beef,10,2012.0,8.5,11.1,14.1,2012
Wholesale beef,11,2012.0,7.5,9.0,10.6,2012
Wholesale beef,12,2012.0,9.5,10.2,11.0,2012
Wholesale pork,7,2011.0,-18.2,1.2,26.0,2012
Wholesale pork,8,2011.0,-16.4,2.5,26.1,2012
Wholesale pork,9,2011.0,-14.0,5.3,29.2,2012
Wholesale pork,10,2011.0,-13.7,4.5,27.3,2012
Wholesale pork,11,2011.0,-13.7,4.2,25.7,2012
Wholesale pork,12,2011.0,-12.9,3.1,23.2,2012
Wholesale pork,1,2012.0,-13.5,0.3,16.1,2012
Wholesale pork,2,2012.0,-14.2,-2.3,11.5,2012
Wholesale pork,3,2012.0,-14.3,-3.9,8.0,2012
Wholesale pork,4,2012.0,-10.7,-1.6,8.9,2012
Wholesale pork,5,2012.0,-14.6,-7.3,1.0,2012
Wholesale pork,6,2012.0,-13.4,-7.4,-0.5,2012
Wholesale pork,7,2012.0,-11.1,-6.2,-0.6,2012
Wholesale pork,8,2012.0,-8.2,-4.1,0.5,2012
Wholesale pork,9,2012.0,-5.8,-2.7,0.8,2012
Wholesale pork,10,2012.0,-7.1,-5.0,-2.7,2012
Wholesale pork,11,2012.0,-5.3,-4.0,-2.6,2012
Wholesale pork,12,2012.0,-4.9,-4.3,-3.7,2012
Wholesale poultry,7,2011.0,-12.5,0.5,15.2,2012
Wholesale poultry,8,2011.0,-12.1,0.9,15.7,2012
Wholesale poultry,9,2011.0,-11.7,0.9,15.4,2012
Wholesale poultry,10,2011.0,-10.7,1.5,15.5,2012
Wholesale poultry,11,2011.0,-9.5,2.1,15.6,2012
Wholesale poultry,12,2011.0,-5.7,5.6,18.4,2012
Wholesale poultry,1,2012.0,-6.4,3.8,15.6,2012
Wholesale poultry,2,2012.0,-0.9,8.8,19.6,2012
Wholesale poultry,3,2012.0,1.0,9.3,18.5,2012
Wholesale poultry,4,2012.0,2.3,9.4,17.3,2012
Wholesale poultry,5,2012.0,3.7,9.7,16.6,2012
Wholesale poultry,6,2012.0,6.1,11.2,16.9,2012
Wholesale poultry,7,2012.0,6.8,10.8,15.2,2012
Wholesale poultry,8,2012.0,6.7,9.7,13.0,2012
Wholesale poultry,9,2012.0,8.1,10.4,12.8,2012
Wholesale poultry,10,2012.0,9.4,10.9,12.5,2012
Wholesale poultry,11,2012.0,10.3,11.2,12.1,2012
Wholesale poultry,12,2012.0,10.9,11.3,11.7,2012
Farm-level eggs,7,2011.0,-45.8,-0.6,82.7,2012
Farm-level eggs,8,2011.0,-43.1,0.4,81.5,2012
Farm-level eggs,9,2011.0,-40.4,8.2,97.5,2012
Farm-level eggs,10,2011.0,-37.6,7.8,88.8,2012
Farm-level eggs,11,2011.0,-33.9,12.6,94.1,2012
Farm-level eggs,12,2011.0,-29.2,15.7,94.5,2012
Farm-level eggs,1,2012.0,-24.4,19.7,95.2,2012
Farm-level eggs,2,2012.0,-34.0,-0.4,54.4,2012
Farm-level eggs,3,2012.0,-38.0,-12.0,30.9,2012
Farm-level eggs,4,2012.0,-33.0,-10.1,26.5,2012
Farm-level eggs,5,2012.0,-28.4,-7.9,24.5,2012
Farm-level eggs,6,2012.0,-30.4,-15.2,7.4,2012
Farm-level eggs,7,2012.0,-25.9,-13.1,6.5,2012
Farm-level eggs,8,2012.0,-21.9,-10.9,5.2,2012
Farm-level eggs,9,2012.0,-11.2,-0.6,13.9,2012
Farm-level eggs,10,2012.0,-6.1,2.0,13.3,2012
Farm-level eggs,11,2012.0,-5.0,-0.2,6.0,2012
Farm-level eggs,12,2012.0,-1.4,1.2,4.9,2012
