ppi_item,curr_month,curr_year,lower,mid,upper,pred_year
Farm-level cattle,7,2016.0,-21.2,-3.3,17.8,2017
Farm-level cattle,8,2016.0,-21.6,-4.8,15.7,2017
Farm-level cattle,9,2016.0,-21.1,-4.3,16.0,2017
Farm-level cattle,10,2016.0,-25.0,-9.2,9.8,2017
Farm-level cattle,11,2016.0,-30.6,-16.7,0.4,2017
Farm-level cattle,12,2016.0,-25.3,-11.1,6.3,2017
Farm-level cattle,1,2017.0,-22.9,-9.3,7.1,2017
Farm-level cattle,2,2017.0,-16.4,-4.0,11.1,2017
Farm-level cattle,3,2017.0,-14.2,-3.0,10.1,2017
Farm-level cattle,4,2017.0,-8.0,2.5,14.7,2017
Farm-level cattle,5,2017.0,-6.7,2.0,12.3,2017
Farm-level cattle,6,2017.0,-1.0,6.7,15.7,2017
Farm-level cattle,7,2017.0,-1.8,4.2,11.1,2017
Farm-level cattle,8,2017.0,-3.8,0.7,5.8,2017
Farm-level cattle,9,2017.0,-5.1,-2.0,1.5,2017
Farm-level cattle,10,2017.0,-5.2,-3.1,-0.8,2017
Farm-level cattle,11,2017.0,-3.8,-2.5,-1.1,2017
Farm-level cattle,12,2017.0,-2.4,-1.7,-1.0,2017
Wholesale beef,7,2016.0,-18.3,3.3,30.3,2017
Wholesale beef,8,2016.0,-21.6,-1.7,23.7,2017
Wholesale beef,9,2016.0,-21.9,-2.5,21.7,2017
Wholesale beef,10,2016.0,-23.1,-5.1,17.7,2017
Wholesale beef,11,2016.0,-24.6,-7.3,13.5,2017
Wholesale beef,12,2016.0,-27.1,-12.0,6.8,2017
Wholesale beef,1,2017.0,-22.5,-8.3,9.1,2017
Wholesale beef,2,2017.0,-22.9,-10.6,4.2,2017
Wholesale beef,3,2017.0,-21.7,-11.2,1.0,2017
Wholesale beef,4,2017.0,-13.1,-4.2,6.1,2017
Wholesale beef,5,2017.0,-9.8,-0.7,9.7,2017
Wholesale beef,6,2017.0,-2.0,6.5,16.4,2017
Wholesale beef,7,2017.0,2.9,10.2,19.2,2017
Wholesale beef,8,2017.0,-3.3,1.1,6.2,2017
Wholesale beef,9,2017.0,-1.9,1.4,5.1,2017
Wholesale beef,10,2017.0,-2.5,-0.3,2.1,2017
Wholesale beef,11,2017.0,-1.9,-0.6,0.9,2017
Wholesale beef,12,2017.0,-1.1,-0.4,0.2,2017
Wholesale pork,7,2016.0,-17.7,3.3,30.4,2017
Wholesale pork,8,2016.0,-17.2,3.4,29.1,2017
Wholesale pork,9,2016.0,-17.1,2.3,26.6,2017
Wholesale pork,10,2016.0,-17.6,1.4,24.8,2017
Wholesale pork,11,2016.0,-19.4,-1.3,20.4,2017
Wholesale pork,12,2016.0,-20.0,-3.7,16.3,2017
Wholesale pork,1,2017.0,-18.0,-2.5,16.3,2017
Wholesale pork,2,2017.0,-13.3,1.1,18.3,2017
Wholesale pork,3,2017.0,-12.4,-0.3,14.5,2017
Wholesale pork,4,2017.0,-10.2,0.4,12.7,2017
Wholesale pork,5,2017.0,-10.2,-1.4,9.0,2017
