ppi_item,curr_month,curr_year,lower,mid,upper,pred_year
Farm-level cattle,7,2005.0,-18.5,-1.1,19.3,2006
Farm-level cattle,8,2005.0,-15.7,-1.6,15.1,2006
Farm-level cattle,9,2005.0,-15.8,-2.1,13.7,2006
Farm-level cattle,10,2005.0,-14.2,-0.7,15.1,2006
Farm-level cattle,11,2005.0,-14.1,-0.9,14.6,2006
Farm-level cattle,12,2005.0,-13.5,-0.6,14.2,2006
Farm-level cattle,1,2006.0,-11.3,3.5,21.0,2006
Farm-level cattle,2,2006.0,-11.3,1.6,17.0,2006
Farm-level cattle,3,2006.0,-10.9,0.1,13.0,2006
Farm-level cattle,4,2006.0,-9.8,-0.3,11.0,2006
Farm-level cattle,5,2006.0,-11.0,-2.8,6.4,2006
Farm-level cattle,6,2006.0,-12.8,-6.3,1.3,2006
Farm-level cattle,7,2006.0,-10.5,-5.0,1.6,2006
Farm-level cattle,8,2006.0,-8.8,-4.6,0.2,2006
Farm-level cattle,9,2006.0,-7.5,-4.2,-0.4,2006
Farm-level cattle,10,2006.0,-5.8,-3.4,-0.6,2006
Farm-level cattle,11,2006.0,-5.2,-3.7,-2.1,2006
Farm-level cattle,12,2006.0,-4.8,-4.2,-3.5,2006
Wholesale beef,7,2005.0,-13.8,-0.5,14.5,2006
Wholesale beef,8,2005.0,-14.9,-1.8,13.1,2006
Wholesale beef,9,2005.0,-15.6,-2.8,12.0,2006
Wholesale beef,10,2005.0,-15.5,-2.9,11.8,2006
Wholesale beef,11,2005.0,-14.1,-2.2,11.7,2006
Wholesale beef,12,2005.0,-14.0,-2.6,10.7,2006
Wholesale beef,1,2006.0,-11.8,-0.7,11.6,2006
Wholesale beef,2,2006.0,-8.9,0.8,12.0,2006
Wholesale beef,3,2006.0,-10.5,-2.1,7.4,2006
Wholesale beef,4,2006.0,-8.1,-0.8,7.5,2006
Wholesale beef,5,2006.0,-9.2,-2.9,4.0,2006
Wholesale beef,6,2006.0,-7.9,-2.6,3.3,2006
Wholesale beef,7,2006.0,-6.9,-2.5,2.3,2006
Wholesale beef,8,2006.0,-6.2,-2.6,1.2,2006
Wholesale beef,9,2006.0,-6.0,-3.3,-0.4,2006
Wholesale beef,10,2006.0,-4.7,-2.7,-0.6,2006
Wholesale beef,11,2006.0,-4.3,-3.1,-1.9,2006
Wholesale beef,12,2006.0,-3.8,-3.3,-2.8,2006
Wholesale pork,7,2005.0,-21.7,-1.0,25.7,2006
Wholesale pork,8,2005.0,-22.8,-2.5,23.0,2006
Wholesale pork,9,2005.0,-19.9,-0.2,25.1,2006
Wholesale pork,10,2005.0,-20.3,-0.4,24.8,2006
Wholesale pork,11,2005.0,-19.1,-1.0,22.6,2006
Wholesale pork,12,2005.0,-20.4,-3.6,17.3,2006
Wholesale pork,1,2006.0,-19.8,-3.2,16.5,2006
Wholesale pork,2,2006.0,-19.1,-5.4,11.5,2006
Wholesale pork,3,2006.0,-20.3,-8.8,5.1,2006
Wholesale pork,4,2006.0,-16.7,-6.5,6.0,2006
Wholesale pork,5,2006.0,-17.6,-8.9,1.3,2006
Wholesale pork,6,2006.0,-13.2,-5.7,3.0,2006
Wholesale pork,7,2006.0,-10.1,-3.8,3.4,2006
Wholesale pork,8,2006.0,-5.4,0.0,6.0,2006
Wholesale pork,9,2006.0,-4.7,-0.8,3.6,2006
Wholesale pork,10,2006.0,-4.2,-1.5,1.4,2006
Wholesale pork,11,2006.0,-4.3,-2.7,-1.0,2006
Wholesale pork,12,2006.0,-3.7,-3.0,-2.2,2006
Wholesale poultry,7,2005.0,-12.2,0.4,14.6,2006
Wholesale poultry,8,2005.0,-10.7,1.9,15.9,2006
Wholesale poultry,9,2005.0,-10.4,1.2,14.7,2006
Wholesale poultry,10,2005.0,-9.4,2.5,15.6,2006
Wholesale poultry,11,2005.0,-10.0,1.0,12.8,2006
Wholesale poultry,12,2005.0,-13.8,-4.1,7.1,2006
Wholesale poultry,1,2006.0,-16.5,-7.4,2.7,2006
Wholesale poultry,2,2006.0,-18.7,-10.8,-1.8,2006
Wholesale poultry,3,2006.0,-18.0,-11.2,-3.7,2006
Wholesale poultry,4,2006.0,-18.5,-12.8,-6.3,2006
Wholesale poultry,5,2006.0,-19.2,-14.6,-9.4,2006
Wholesale poultry,6,2006.0,-16.4,-12.5,-8.2,2006
Wholesale poultry,7,2006.0,-11.1,-7.5,-3.5,2006
Wholesale poultry,8,2006.0,-11.2,-8.4,-5.5,2006
Wholesale poultry,9,2006.0,-9.3,-7.3,-5.2,2006
Wholesale poultry,10,2006.0,-8.7,-7.4,-6.0,2006
Wholesale poultry,11,2006.0,-9.2,-8.5,-7.8,2006
Wholesale poultry,12,2006.0,-8.7,-8.4,-8.0,2006
Farm-level eggs,7,2005.0,0.2,29.2,67.9,2006
Farm-level eggs,8,2005.0,-3.5,23.7,59.9,2006
Farm-level eggs,9,2005.0,-2.3,25.0,60.8,2006
Farm-level eggs,10,2005.0,-5.0,20.8,53.2,2006
Farm-level eggs,11,2005.0,-4.7,21.1,54.7,2006
Farm-level eggs,12,2005.0,-4.0,22.3,54.7,2006
Farm-level eggs,1,2006.0,-3.4,22.6,56.7,2006
Farm-level eggs,2,2006.0,-4.9,19.3,50.0,2006
Farm-level eggs,3,2006.0,-12.2,7.3,32.5,2006
Farm-level eggs,4,2006.0,-10.1,8.4,33.2,2006
Farm-level eggs,5,2006.0,-6.0,11.1,32.8,2006
Farm-level eggs,6,2006.0,-11.0,2.5,20.0,2006
Farm-level eggs,7,2006.0,-3.9,8.6,24.6,2006
Farm-level eggs,8,2006.0,-6.8,2.4,14.4,2006
Farm-level eggs,9,2006.0,-2.6,4.9,14.0,2006
Farm-level eggs,10,2006.0,-0.4,5.0,11.5,2006
Farm-level eggs,11,2006.0,0.8,4.4,8.8,2006
Farm-level eggs,12,2006.0,6.5,8.9,12.0,2006
Farm-level milk,7,2005.0,-24.7,-1.2,30.5,2006
Farm-level milk,8,2005.0,-23.5,-0.1,30.2,2006
Farm-level milk,9,2005.0,-24.3,-1.7,28.0,2006
Farm-level milk,10,2005.0,-22.2,0.5,30.5,2006
Farm-level milk,11,2005.0,-20.7,1.3,30.0,2006
Farm-level milk,12,2005.0,-24.3,-2.9,26.1,2006
Farm-level milk,1,2006.0,-21.1,-8.3,6.7,2006
Farm-level milk,2,2006.0,-19.4,-7.8,6.2,2006
Farm-level milk,3,2006.0,-22.1,-11.8,0.4,2006
Farm-level milk,4,2006.0,-23.6,-14.5,-3.6,2006
Farm-level milk,5,2006.0,-22.2,-14.0,-4.4,2006
Farm-level milk,6,2006.0,-21.7,-14.7,-6.2,2006
Farm-level milk,7,2006.0,-22.2,-16.3,-9.4,2006
Farm-level milk,8,2006.0,-22.1,-17.6,-12.2,2006
Farm-level milk,9,2006.0,-20.0,-16.5,-12.4,2006
Farm-level milk,10,2006.0,-17.3,-14.8,-11.9,2006
Farm-level milk,11,2006.0,-16.3,-14.9,-13.4,2006
Farm-level milk,12,2006.0,-15.5,-14.9,-14.3,2006
Wholesale dairy,7,2005.0,-10.3,-0.2,11.2,2006
Wholesale dairy,8,2005.0,-9.7,0.5,11.6,2006
Wholesale dairy,9,2005.0,-10.4,-0.6,10.6,2006
Wholesale dairy,10,2005.0,-9.2,0.5,11.4,2006
Wholesale dairy,11,2005.0,-9.5,0.1,10.5,2006
Wholesale dairy,12,2005.0,-9.7,-0.9,8.7,2006
Wholesale dairy,1,2006.0,-8.9,-0.5,8.9,2006
Wholesale dairy,2,2006.0,-8.7,-1.1,7.1,2006
Wholesale dairy,3,2006.0,-9.7,-3.1,4.2,2006
Wholesale dairy,4,2006.0,-10.2,-4.5,1.8,2006
Wholesale dairy,5,2006.0,-9.6,-4.8,0.7,2006
Wholesale dairy,6,2006.0,-9.4,-5.2,-0.7,2006
Wholesale dairy,7,2006.0,-8.8,-5.3,-1.6,2006
Wholesale dairy,8,2006.0,-9.0,-6.1,-2.8,2006
Wholesale dairy,9,2006.0,-7.7,-5.6,-3.2,2006
Wholesale dairy,10,2006.0,-6.1,-4.7,-3.3,2006
Wholesale dairy,11,2006.0,-5.7,-4.9,-4.1,2006
Wholesale dairy,12,2006.0,-4.9,-4.5,-4.2,2006
Farm-level soybeans,7,2005.0,-28.0,5.6,56.2,2006
Farm-level soybeans,8,2005.0,-25.7,7.0,55.9,2006
Farm-level soybeans,9,2005.0,-29.8,2.2,47.6,2006
Farm-level soybeans,10,2005.0,-35.9,-8.2,32.4,2006
Farm-level soybeans,11,2005.0,-37.5,-11.9,24.3,2006
Farm-level soybeans,12,2005.0,-30.7,-4.0,33.2,2006
Farm-level soybeans,1,2006.0,-26.5,-1.3,34.7,2006
Farm-level soybeans,2,2006.0,-27.2,-5.6,23.7,2006
Farm-level soybeans,3,2006.0,-24.3,-5.5,19.8,2006
Farm-level soybeans,4,2006.0,-22.9,-6.7,14.4,2006
Farm-level soybeans,5,2006.0,-22.0,-8.7,8.5,2006
Farm-level soybeans,6,2006.0,-16.8,-5.3,10.4,2006
Farm-level soybeans,7,2006.0,-15.4,-6.0,5.9,2006
Farm-level soybeans,8,2006.0,-12.5,-5.1,4.5,2006
Farm-level soybeans,9,2006.0,-13.6,-8.3,-2.1,2006
Farm-level soybeans,10,2006.0,-12.9,-9.6,-5.5,2006
Farm-level soybeans,11,2006.0,-10.6,-8.4,-5.9,2006
Farm-level soybeans,12,2006.0,-6.8,-5.6,-4.2,2006
Wholesale fats and oils,7,2005.0,-16.8,1.0,21.9,2006
Wholesale fats and oils,8,2005.0,-15.3,0.4,20.3,2006
Wholesale fats and oils,9,2005.0,-14.8,0.7,19.3,2006
