cpi_item,curr_month,curr_year,lower,mid,upper,pred_year
All food,7,2013.0,-0.1,2.2,4.7,2014
All food,8,2013.0,-0.6,1.9,4.4,2014
All food,9,2013.0,-0.2,2.0,4.3,2014
All food,10,2013.0,-0.3,1.9,4.1,2014
All food,11,2013.0,0.0,2.0,4.0,2014
All food,12,2013.0,-0.4,1.4,3.3,2014
All food,1,2014.0,-0.3,1.3,3.0,2014
All food,2,2014.0,0.5,1.9,3.4,2014
All food,3,2014.0,0.8,2.1,3.3,2014
All food,4,2014.0,1.2,2.2,3.3,2014
All food,5,2014.0,1.5,2.4,3.3,2014
All food,6,2014.0,1.8,2.6,3.3,2014
All food,7,2014.0,1.7,2.3,2.9,2014
All food,8,2014.0,1.9,2.4,2.8,2014
All food,9,2014.0,2.1,2.4,2.7,2014
All food,10,2014.0,2.2,2.4,2.7,2014
All food,11,2014.0,2.3,2.4,2.6,2014
All food,12,2014.0,2.3,2.4,2.5,2014
Food away from home,7,2013.0,1.2,2.6,4.0,2014
Food away from home,8,2013.0,1.2,2.5,3.9,2014
Food away from home,9,2013.0,1.2,2.4,3.7,2014
Food away from home,10,2013.0,1.1,2.2,3.5,2014
Food away from home,11,2013.0,1.0,2.1,3.3,2014
Food away from home,12,2013.0,1.3,2.3,3.3,2014
Food away from home,1,2014.0,0.9,2.0,3.1,2014
Food away from home,2,2014.0,0.8,1.8,2.8,2014
Food away from home,3,2014.0,1.3,2.1,2.9,2014
Food away from home,4,2014.0,1.6,2.3,2.9,2014
Food away from home,5,2014.0,1.8,2.4,2.9,2014
Food away from home,6,2014.0,1.9,2.3,2.8,2014
Food away from home,7,2014.0,2.0,2.3,2.6,2014
Food away from home,8,2014.0,2.1,2.4,2.6,2014
Food away from home,9,2014.0,2.2,2.4,2.6,2014
Food away from home,10,2014.0,2.3,2.4,2.6,2014
Food away from home,11,2014.0,2.3,2.4,2.5,2014
Food away from home,12,2014.0,2.4,2.4,2.5,2014
Food at home,7,2013.0,-0.6,2.2,5.1,2014
Food at home,8,2013.0,-0.6,2.1,4.8,2014
Food at home,9,2013.0,-0.5,2.1,4.7,2014
Food at home,10,2013.0,-0.5,1.9,4.5,2014
Food at home,11,2013.0,-0.5,1.9,4.3,2014
Food at home,12,2013.0,-0.9,1.3,3.6,2014
Food at home,1,2014.0,-0.9,1.3,3.4,2014
Food at home,2,2014.0,-0.1,1.9,3.9,2014
Food at home,3,2014.0,0.3,1.9,3.6,2014
Food at home,4,2014.0,0.6,2.0,3.5,2014
Food at home,5,2014.0,1.0,2.3,3.6,2014
Food at home,6,2014.0,1.5,2.6,3.6,2014
Food at home,7,2014.0,1.4,2.2,3.1,2014
Food at home,8,2014.0,1.7,2.3,3.0,2014
Food at home,9,2014.0,1.9,2.4,2.9,2014
Food at home,10,2014.0,2.1,2.5,2.8,2014
Food at home,11,2014.0,2.2,2.5,2.7,2014
Food at home,12,2014.0,2.2,2.4,2.5,2014
"Meats, poultry, and fish",7,2013.0,-1.1,3.5,8.2,2014
"Meats, poultry, and fish",8,2013.0,-1.1,3.4,8.1,2014
"Meats, poultry, and fish",9,2013.0,-0.5,3.9,8.4,2014
"Meats, poultry, and fish",10,2013.0,-0.4,3.7,8.0,2014
"Meats, poultry, and fish",11,2013.0,0.1,4.1,8.2,2014
"Meats, poultry, and fish",12,2013.0,-0.9,2.7,6.4,2014
"Meats, poultry, and fish",1,2014.0,-0.7,2.6,6.1,2014
"Meats, poultry, and fish",2,2014.0,0.3,3.2,6.2,2014
"Meats, poultry, and fish",3,2014.0,1.4,4.0,6.7,2014
"Meats, poultry, and fish",4,2014.0,2.5,4.8,7.1,2014
"Meats, poultry, and fish",5,2014.0,4.2,6.1,8.2,2014
"Meats, poultry, and fish",6,2014.0,4.9,6.6,8.3,2014
"Meats, poultry, and fish",7,2014.0,5.2,6.5,7.9,2014
"Meats, poultry, and fish",8,2014.0,5.5,6.5,7.6,2014
"Meats, poultry, and fish",9,2014.0,6.7,7.5,8.3,2014
"Meats, poultry, and fish",10,2014.0,7.0,7.6,8.1,2014
"Meats, poultry, and fish",11,2014.0,6.9,7.2,7.6,2014
"Meats, poultry, and fish",12,2014.0,7.1,7.2,7.4,2014
Meats,7,2013.0,-2.5,3.5,9.8,2014
Meats,8,2013.0,-2.2,3.6,9.6,2014
Meats,9,2013.0,-1.7,3.8,9.9,2014
Meats,10,2013.0,-1.8,3.6,9.3,2014
Meats,11,2013.0,-1.4,3.8,9.1,2014
Meats,12,2013.0,-2.2,2.6,7.6,2014
Meats,1,2014.0,-1.6,2.6,7.0,2014
Meats,2,2014.0,-1.1,2.6,6.5,2014
Meats,3,2014.0,1.4,4.8,8.2,2014
Meats,4,2014.0,2.9,5.9,9.0,2014
Meats,5,2014.0,5.6,8.3,11.2,2014
Meats,6,2014.0,5.8,8.1,10.4,2014
Meats,7,2014.0,6.2,7.9,9.7,2014
Meats,8,2014.0,6.7,8.0,9.4,2014
Meats,9,2014.0,8.6,9.7,10.7,2014
Meats,10,2014.0,8.9,9.6,10.3,2014
Meats,11,2014.0,8.9,9.3,9.7,2014
Meats,12,2014.0,9.1,9.3,9.4,2014
Beef and veal,7,2013.0,-4.2,4.3,13.8,2014
Beef and veal,8,2013.0,-4.2,4.5,13.6,2014
Beef and veal,9,2013.0,-4.5,3.8,12.9,2014
Beef and veal,10,2013.0,-4.6,3.3,11.8,2014
Beef and veal,11,2013.0,-3.7,3.5,11.4,2014
Beef and veal,12,2013.0,-3.1,3.8,11.3,2014
Beef and veal,1,2014.0,-2.9,3.5,10.2,2014
Beef and veal,2,2014.0,-2.5,2.8,8.7,2014
Beef and veal,3,2014.0,2.8,8.1,13.5,2014
Beef and veal,4,2014.0,4.0,8.6,13.3,2014
Beef and veal,5,2014.0,7.1,11.1,15.2,2014
Beef and veal,6,2014.0,6.6,9.7,13.1,2014
Beef and veal,7,2014.0,7.1,9.6,12.2,2014
Beef and veal,8,2014.0,7.7,9.6,11.7,2014
Beef and veal,9,2014.0,10.5,12.0,13.7,2014
Beef and veal,10,2014.0,11.2,12.2,13.3,2014
Beef and veal,11,2014.0,11.4,12.0,12.6,2014
Beef and veal,12,2014.0,11.8,12.1,12.3,2014
Pork,7,2013.0,-7.1,0.7,9.0,2014
Pork,8,2013.0,-6.0,1.7,10.5,2014
Pork,9,2013.0,-5.3,2.5,10.8,2014
Pork,10,2013.0,-4.7,2.6,10.4,2014
Pork,11,2013.0,-4.0,3.1,10.8,2014
Pork,12,2013.0,-6.0,0.3,7.3,2014
Pork,1,2014.0,-5.0,0.9,7.1,2014
Pork,2,2014.0,-3.5,1.7,7.2,2014
Pork,3,2014.0,-2.6,1.9,6.7,2014
Pork,4,2014.0,-0.2,3.8,8.1,2014
Pork,5,2014.0,3.0,6.6,10.5,2014
Pork,6,2014.0,5.7,9.0,12.4,2014
Pork,7,2014.0,6.1,8.6,11.3,2014
Pork,8,2014.0,7.1,9.0,11.2,2014
Pork,9,2014.0,8.7,10.2,11.7,2014
Pork,10,2014.0,8.9,9.9,11.0,2014
Pork,11,2014.0,9.1,9.7,10.3,2014
Pork,12,2014.0,9.0,9.2,9.5,2014
Other meats,7,2013.0,-2.5,2.1,7.0,2014
Other meats,8,2013.0,-2.9,1.6,6.3,2014
Other meats,9,2013.0,-2.6,1.8,6.4,2014
Other meats,10,2013.0,-2.0,2.3,6.8,2014
Other meats,11,2013.0,-1.6,2.5,6.9,2014
Other meats,12,2013.0,-1.4,2.5,6.6,2014
Other meats,1,2014.0,-1.6,2.1,5.9,2014
Other meats,2,2014.0,-1.1,2.0,5.3,2014
Other meats,3,2014.0,-1.5,1.3,4.1,2014
Other meats,4,2014.0,-1.0,1.4,3.9,2014
Other meats,5,2014.0,0.1,2.2,4.4,2014
Other meats,6,2014.0,0.7,2.4,4.2,2014
Other meats,7,2014.0,1.4,2.9,4.4,2014
Other meats,8,2014.0,1.8,2.9,4.1,2014
Other meats,9,2014.0,2.4,3.2,4.1,2014
Other meats,10,2014.0,3.1,3.7,4.3,2014
Other meats,11,2014.0,3.4,3.8,4.2,2014
Other meats,12,2014.0,3.7,3.9,4.1,2014
Poultry,7,2013.0,-1.0,3.5,8.3,2014
Poultry,8,2013.0,-1.3,3.1,8.0,2014
Poultry,9,2013.0,-0.7,3.7,8.2,2014
Poultry,10,2013.0,-0.4,4.0,8.3,2014
Poultry,11,2013.0,0.2,4.2,8.5,2014
Poultry,12,2013.0,-1.4,2.3,6.2,2014
Poultry,1,2014.0,-1.3,2.3,6.0,2014
Poultry,2,2014.0,-0.8,2.4,5.7,2014
Poultry,3,2014.0,-1.0,1.7,4.5,2014
Poultry,4,2014.0,-0.1,2.3,4.8,2014
Poultry,5,2014.0,-0.6,1.4,3.3,2014
Poultry,6,2014.0,0.2,1.8,3.5,2014
Poultry,7,2014.0,0.9,2.2,3.6,2014
Poultry,8,2014.0,1.3,2.3,3.4,2014
Poultry,9,2014.0,1.5,2.3,3.1,2014
Poultry,10,2014.0,1.7,2.3,2.8,2014
Poultry,11,2014.0,1.7,2.0,2.3,2014
Poultry,12,2014.0,1.8,2.0,2.2,2014
Fish and seafood,7,2013.0,-1.7,3.1,8.3,2014
Fish and seafood,8,2013.0,-1.6,3.2,8.2,2014
Fish and seafood,9,2013.0,-1.3,3.4,8.3,2014
Fish and seafood,10,2013.0,-0.6,3.8,8.6,2014
Fish and seafood,11,2013.0,0.1,4.5,9.2,2014
Fish and seafood,12,2013.0,0.0,4.0,8.4,2014
Fish and seafood,1,2014.0,0.6,3.7,6.7,2014
Fish and seafood,2,2014.0,2.4,5.1,7.8,2014
Fish and seafood,3,2014.0,2.7,5.0,7.4,2014
Fish and seafood,4,2014.0,2.4,4.5,6.5,2014
Fish and seafood,5,2014.0,3.3,5.0,6.8,2014
Fish and seafood,6,2014.0,4.5,6.1,7.6,2014
Fish and seafood,7,2014.0,5.1,6.3,7.6,2014
Fish and seafood,8,2014.0,5.3,6.2,7.2,2014
Fish and seafood,9,2014.0,5.4,6.1,6.9,2014
Fish and seafood,10,2014.0,5.7,6.2,6.8,2014
Fish and seafood,11,2014.0,5.5,5.9,6.3,2014
Fish and seafood,12,2014.0,5.7,5.9,6.1,2014
Eggs,7,2013.0,-20.4,-0.2,25.5,2014
Eggs,8,2013.0,-21.0,-0.8,23.7,2014
Eggs,9,2013.0,-19.5,-0.5,24.2,2014
Eggs,10,2013.0,-18.4,0.8,24.3,2014
Eggs,11,2013.0,-16.6,1.2,23.5,2014
Eggs,12,2013.0,-13.9,3.8,25.7,2014
Eggs,1,2014.0,-9.8,7.1,27.4,2014
Eggs,2,2014.0,-8.8,5.9,23.8,2014
Eggs,3,2014.0,-6.1,6.4,21.8,2014
Eggs,4,2014.0,-2.9,8.4,21.7,2014
Eggs,5,2014.0,-0.9,8.9,20.3,2014
Eggs,6,2014.0,-0.8,7.0,16.2,2014
Eggs,7,2014.0,0.5,6.9,14.3,2014
Eggs,8,2014.0,2.1,6.9,12.5,2014
Eggs,9,2014.0,3.6,7.3,11.4,2014
Eggs,10,2014.0,4.7,7.3,10.3,2014
Eggs,11,2014.0,5.6,7.2,8.9,2014
Eggs,12,2014.0,6.9,7.7,8.5,2014
Dairy products,7,2013.0,-8.5,-0.6,8.3,2014
Dairy products,8,2013.0,-8.6,-0.5,8.2,2014
Dairy products,9,2013.0,-7.7,0.1,8.4,2014
Dairy products,10,2013.0,-7.5,-0.1,7.7,2014
Dairy products,11,2013.0,-7.4,-0.4,7.1,2014
Dairy products,12,2013.0,-6.3,0.3,7.3,2014
Dairy products,1,2014.0,-5.1,0.7,7.1,2014
Dairy products,2,2014.0,-4.2,1.1,6.8,2014
Dairy products,3,2014.0,-2.7,1.8,6.8,2014
Dairy products,4,2014.0,-1.1,2.8,7.0,2014
Dairy products,5,2014.0,-0.4,2.9,6.3,2014
Dairy products,6,2014.0,0.6,3.3,6.2,2014
Dairy products,7,2014.0,0.6,2.7,4.9,2014
Dairy products,8,2014.0,1.4,3.1,4.8,2014
Dairy products,9,2014.0,2.1,3.3,4.6,2014
Dairy products,10,2014.0,2.7,3.5,4.3,2014
Dairy products,11,2014.0,3.1,3.6,4.1,2014
Dairy products,12,2014.0,3.3,3.5,3.7,2014
Fats and oils,7,2013.0,-3.9,2.4,9.2,2014
Fats and oils,8,2013.0,-3.9,2.2,8.8,2014
Fats and oils,9,2013.0,-3.7,2.2,8.6,2014
Fats and oils,10,2013.0,-3.9,1.8,8.0,2014
Fats and oils,11,2013.0,-3.8,1.7,7.7,2014
Fats and oils,12,2013.0,-4.7,0.5,5.9,2014
Fats and oils,1,2014.0,-7.6,-1.8,4.4,2014
Fats and oils,2,2014.0,-5.6,-0.6,4.8,2014
Fats and oils,3,2014.0,-4.7,-0.3,4.3,2014
Fats and oils,4,2014.0,-3.3,0.3,4.1,2014
Fats and oils,5,2014.0,-3.5,-0.6,2.5,2014
Fats and oils,6,2014.0,-2.6,-0.2,2.2,2014
Fats and oils,7,2014.0,-2.2,-0.4,1.5,2014
Fats and oils,8,2014.0,-1.2,0.1,1.6,2014
Fats and oils,9,2014.0,-0.7,0.3,1.3,2014
Fats and oils,10,2014.0,-0.1,0.5,1.2,2014
Fats and oils,11,2014.0,0.1,0.6,1.0,2014
Fats and oils,12,2014.0,0.0,0.2,0.4,2014
Fruits and vegetables,7,2013.0,-1.8,2.4,6.8,2014
Fruits and vegetables,8,2013.0,-1.8,2.4,6.8,2014
Fruits and vegetables,9,2013.0,-1.7,2.4,6.7,2014
Fruits and vegetables,10,2013.0,-1.8,2.4,6.7,2014
Fruits and vegetables,11,2013.0,-1.6,2.4,6.7,2014
Fruits and vegetables,12,2013.0,-2.1,1.9,6.2,2014
Fruits and vegetables,1,2014.0,-2.5,1.5,5.8,2014
Fruits and vegetables,2,2014.0,-1.4,2.2,6.0,2014
Fruits and vegetables,3,2014.0,-1.4,1.8,5.3,2014
Fruits and vegetables,4,2014.0,-1.2,1.8,4.9,2014
Fruits and vegetables,5,2014.0,-0.6,2.0,4.7,2014
